lon,lat,age (Ma),label,source
-127.46,50.59,167.0,positive,Diaz-Rodriguez et al. 2021
-127.86,50.67,168.0,positive,Diaz-Rodriguez et al. 2021
-120.0,49.17,168.0,positive,Diaz-Rodriguez et al. 2021
-119.27,38.96,169.0,positive,Diaz-Rodriguez et al. 2021
-127.48,50.6,171.0,positive,Diaz-Rodriguez et al. 2021
-127.97,50.71,172.0,positive,Diaz-Rodriguez et al. 2021
-109.9,31.43,180.0,positive,Diaz-Rodriguez et al. 2021
-129.11,58.48,190.0,positive,Diaz-Rodriguez et al. 2021
-130.25,56.5,193.0,positive,Diaz-Rodriguez et al. 2021
-120.46,49.42,193.0,positive,Diaz-Rodriguez et al. 2021
-120.01,49.52,193.0,positive,Diaz-Rodriguez et al. 2021
-120.01,49.88,195.0,positive,Diaz-Rodriguez et al. 2021
-130.8,56.83,196.0,positive,Diaz-Rodriguez et al. 2021
-129.45,55.55,196.0,positive,Diaz-Rodriguez et al. 2021
-127.02,57.37,197.0,positive,Diaz-Rodriguez et al. 2021
-121.37,52.25,197.0,positive,Diaz-Rodriguez et al. 2021
-126.72,57.07,199.0,positive,Diaz-Rodriguez et al. 2021
-125.36,55.53,200.0,positive,Diaz-Rodriguez et al. 2021
-126.73,57.23,201.0,positive,Diaz-Rodriguez et al. 2021
-126.67,57.2,202.0,positive,Diaz-Rodriguez et al. 2021
-120.99,50.5,203.0,positive,Diaz-Rodriguez et al. 2021
-120.98,50.48,203.0,positive,Diaz-Rodriguez et al. 2021
-130.34,57.74,205.0,positive,Diaz-Rodriguez et al. 2021
-130.26,57.66,205.0,positive,Diaz-Rodriguez et al. 2021
-130.29,57.76,205.0,positive,Diaz-Rodriguez et al. 2021
-130.17,57.68,205.0,positive,Diaz-Rodriguez et al. 2021
-117.5,38.33,207.0,positive,Diaz-Rodriguez et al. 2021
-120.99,50.42,208.0,positive,Diaz-Rodriguez et al. 2021
-120.94,50.51,208.0,positive,Diaz-Rodriguez et al. 2021
-120.85,50.32,208.0,positive,Diaz-Rodriguez et al. 2021
-120.99,50.54,208.0,positive,Diaz-Rodriguez et al. 2021
-121.02,50.56,208.0,positive,Diaz-Rodriguez et al. 2021
-120.99,50.43,208.0,positive,Diaz-Rodriguez et al. 2021
-120.91,50.44,208.0,positive,Diaz-Rodriguez et al. 2021
-121.04,50.45,208.0,positive,Diaz-Rodriguez et al. 2021
-120.96,50.37,208.0,positive,Diaz-Rodriguez et al. 2021
-120.96,50.38,208.0,positive,Diaz-Rodriguez et al. 2021
-122.29,52.52,210.0,positive,Diaz-Rodriguez et al. 2021
-121.05,50.49,210.0,positive,Diaz-Rodriguez et al. 2021
-121.0,50.43,210.0,positive,Diaz-Rodriguez et al. 2021
-131.88,58.24,218.0,positive,Diaz-Rodriguez et al. 2021
-126.68,57.22,221.0,positive,Diaz-Rodriguez et al. 2021
-130.99,57.36,222.0,positive,Diaz-Rodriguez et al. 2021
-153.0918,60.0319,0.0,negative,Diaz-Rodriguez et al. 2021
-153.435,59.3626,0.0,negative,Diaz-Rodriguez et al. 2021
-153.5351,58.8596,0.0,negative,Diaz-Rodriguez et al. 2021
-153.6738,58.7703,0.0,negative,Diaz-Rodriguez et al. 2021
-154.3573,58.4528,0.0,negative,Diaz-Rodriguez et al. 2021
-154.6859,58.3336,0.0,negative,Diaz-Rodriguez et al. 2021
-154.9533,58.279,0.0,negative,Diaz-Rodriguez et al. 2021
-155.1026,58.2343,0.0,negative,Diaz-Rodriguez et al. 2021
-155.1037,58.3572,0.0,negative,Diaz-Rodriguez et al. 2021
-155.1591,58.2654,0.0,negative,Diaz-Rodriguez et al. 2021
-155.2544,58.1946,0.0,negative,Diaz-Rodriguez et al. 2021
-155.3566,58.1692,0.0,negative,Diaz-Rodriguez et al. 2021
-156.37,57.7503,0.0,negative,Diaz-Rodriguez et al. 2021
-156.5139,57.8338,0.0,negative,Diaz-Rodriguez et al. 2021
-156.99147,57.13348,0.0,negative,Diaz-Rodriguez et al. 2021
-158.209,56.9058,0.0,negative,Diaz-Rodriguez et al. 2021
-159.3931,56.1979,0.0,negative,Diaz-Rodriguez et al. 2021
-159.7912,56.0126,0.0,negative,Diaz-Rodriguez et al. 2021
-161.8937,55.4173,0.0,negative,Diaz-Rodriguez et al. 2021
-162.0726,55.3409,0.0,negative,Diaz-Rodriguez et al. 2021
-162.2744,55.1867,0.0,negative,Diaz-Rodriguez et al. 2021
-163.14687,55.41728,0.0,negative,Diaz-Rodriguez et al. 2021
-163.9711,54.7554,0.0,negative,Diaz-Rodriguez et al. 2021
-164.3524,54.6692,0.0,negative,Diaz-Rodriguez et al. 2021
-164.6476,54.5171,0.0,negative,Diaz-Rodriguez et al. 2021
-165.6605,54.2522,0.0,negative,Diaz-Rodriguez et al. 2021
